; Sample Rate 8000
; Channels 2
        0.039625   -0.14445629064  -0.14445629064 
         0.03975   -0.11480830749  -0.11480830749 
        0.039875  -0.066384915262 -0.066384915262 
            0.04                0               0 
        0.040125   0.066384915262  0.066384915262 
         0.04025    0.11480830749   0.11480830749 
        0.040375    0.14445629064   0.14445629064 
          0.0405    0.16669804882   0.16669804882 
        0.040625    0.18792222207   0.18792222207 
         0.04075    0.20491160592   0.20491160592 
        0.040875    0.21497318335   0.21497318335 
           0.041     0.2215002859    0.2215002859 
        0.041125    0.22740953136   0.22740953136 
         0.04125    0.23020655103   0.23020655103 
        0.041375    0.22740945732   0.22740945732 
          0.0415    0.22150027938   0.22150027938 
        0.041625    0.21497319685   0.21497319685 
         0.04175    0.20491158636   0.20491158636 
        0.041875    0.18792222068   0.18792222068 
           0.042    0.16669806605   0.16669806605 
        0.042125    0.14445634047   0.14445634047 
         0.04225    0.11480829539   0.11480829539 
        0.042375   0.066384912003  0.066384912003 
          0.0425  7.4505805969e-09 7.4505805969e-09 
        0.042625  -0.066384896636 -0.066384896636 
         0.04275   -0.11480832379  -0.11480832379 
        0.042875   -0.14445629437  -0.14445629437 
           0.043   -0.16669804975  -0.16669804975 
        0.043125   -0.18792222906  -0.18792222906 
         0.04325   -0.20491163479  -0.20491163479 
        0.043375   -0.21497314936  -0.21497314936 
          0.0435   -0.22150030546  -0.22150030546 
        0.043625   -0.22740951087  -0.22740951087 
         0.04375   -0.23020660225  -0.23020660225 
        0.043875   -0.22740948061  -0.22740948061 
           0.044   -0.22150031943  -0.22150031943 
        0.044125   -0.21497318055  -0.21497318055 
         0.04425   -0.20491158823  -0.20491158823 
        0.044375   -0.18792217644  -0.18792217644 
          0.0445   -0.16669805581  -0.16669805581 
        0.044625   -0.14445630834  -0.14445630834 
         0.04475   -0.11480831308  -0.11480831308 
        0.044875  -0.066384908278 -0.066384908278 
           0.045  -2.2817403078e-08 -2.2817403078e-08 
        0.045125   0.066384941339  0.066384941339 
         0.04525    0.11480835453   0.11480835453 
        0.045375    0.14445628645   0.14445628645 
          0.0455    0.16669802414   0.16669802414 
        0.045625    0.18792220205   0.18792220205 
         0.04575    0.20491161756   0.20491161756 
        0.045875    0.21497314889   0.21497314889 
           0.046    0.22150028963   0.22150028963 
        0.046125    0.22740951832   0.22740951832 
         0.04625    0.23020663252   0.23020663252 
